sec,name,line,banner,stmt_preview
12,topology_sub_Power,4814,"LATEX VERSION: From the topology definition, every open set is a subset of X; equivalently T ⊆ P(X).","Theorem topology_sub_Power : forall X T:set, topology_on X T -> T c= Power X. let X T. assume HTx: topology_on X T. prove T c= Power X. claim H1: (((T c= Power X /\ Empty :e T) /\ X :e T) /\ (forall UFam :e Power T, Union UFam :e T)) /\ (fo"
12,open_in_topology,4844,"LATEX VERSION: If U is open in X (relative to T), then T is a topology on X.","Theorem open_in_topology : forall X T U:set, open_in X T U -> topology_on X T. let X T U. assume H: open_in X T U. exact (andEL (topology_on X T) (U :e T) H). Qed. "
12,open_in_elem,4853,"LATEX VERSION: If U is open in X, then U is an element of the topology T.","Theorem open_in_elem : forall X T U:set, open_in X T U -> U :e T. let X T U. assume H: open_in X T U. exact (andER (topology_on X T) (U :e T) H). Qed. "
12,open_inI,4862,"LATEX VERSION: If T is a topology on X and U∈T, then U is open in X.","Theorem open_inI : forall X T U:set, topology_on X T -> U :e T -> open_in X T U. let X T U. assume HT: topology_on X T. assume HU: U :e T. exact (andI (topology_on X T) (U :e T) HT HU). Qed. "
12,open_in_subset,4887,LATEX VERSION: Every open set U of X is a subset of X.,"Theorem open_in_subset : forall X T U:set, open_in X T U -> U c= X. let X T U. assume HU: open_in X T U. prove U c= X. claim HTx: topology_on X T. { exact (open_in_topology X T U HU). } claim HUT: U :e T. { exact (open_in_elem X T U HU). } "
12,topology_elem_subset,4903,"LATEX VERSION: If T is a topology on X and U∈T, then U⊆X.","Theorem topology_elem_subset : forall X T U:set, topology_on X T -> U :e T -> U c= X. let X T U. assume HTx: topology_on X T. assume HU: U :e T. prove U c= X. claim HUPower: U :e Power X. { exact ((topology_sub_Power X T HTx) U HU). } exact"
12,topology_has_empty,4916,"LATEX VERSION: By the topology axioms, ∅ is open (belongs to T).","Theorem topology_has_empty : forall X T:set, topology_on X T -> Empty :e T. let X T. assume HTx: topology_on X T. prove Empty :e T. claim H1: (((T c= Power X /\ Empty :e T) /\ X :e T) /\ (forall UFam :e Power T, Union UFam :e T)) /\ (forall"
12,topology_has_X,4935,"LATEX VERSION: By the topology axioms, X itself is open (belongs to T).","Theorem topology_has_X : forall X T:set, topology_on X T -> X :e T. let X T. assume HTx: topology_on X T. prove X :e T. claim H1: (((T c= Power X /\ Empty :e T) /\ X :e T) /\ (forall UFam :e Power T, Union UFam :e T)) /\ (forall U :e T, for"
12,topology_subset_axiom,4952,"LATEX VERSION: A topology on X is a collection of subsets of X, that is, T is contained in P(X).","Theorem topology_subset_axiom : forall X T:set, topology_on X T -> T c= Power X. let X T. assume HTx: topology_on X T. prove T c= Power X. claim H0: ((T c= Power X /\ Empty :e T) /\ X :e T) /\ (forall UFam :e Power T, Union UFam :e T). { ex"
12,topology_union_closed,4968,LATEX VERSION: The union of the elements of any subcollection of the topology is again an element of the topology.,"Theorem topology_union_closed : forall X T UFam:set, topology_on X T -> UFam c= T -> Union UFam :e T. let X T UFam. assume HTx: topology_on X T. assume HUFam: UFam c= T. prove Union UFam :e T. claim H1: (((T c= Power X /\ Empty :e T) /\ X :"
12,topology_union_closed_pow,4988,"LATEX VERSION: If UFam is a subcollection of T (UFam ∈ P(T)), then the union of UFam belongs to T.","Theorem topology_union_closed_pow : forall X T UFam:set, topology_on X T -> UFam :e Power T -> Union UFam :e T. let X T UFam. assume HTx: topology_on X T. assume HUFamPow: UFam :e Power T. prove Union UFam :e T. claim HUFamSub: UFam c= T. {"
12,topology_union_axiom,5001,LATEX VERSION: Property (2) of the topology axioms: arbitrary unions of open sets are open.,"Theorem topology_union_axiom : forall X T:set, topology_on X T -> forall UFam :e Power T, Union UFam :e T. let X T. assume HTx: topology_on X T. prove forall UFam :e Power T, Union UFam :e T. let UFam. assume HUFamPow: UFam :e Power T. exac"
12,topology_binintersect_closed,5013,LATEX VERSION: Property (3) of the topology axioms: the intersection of two open sets is open.,"Theorem topology_binintersect_closed : forall X T U V:set, topology_on X T -> U :e T -> V :e T -> U :/\: V :e T. let X T U V. assume HTx: topology_on X T. assume HU: U :e T. assume HV: V :e T. prove U :/\: V :e T. claim HIntersectAxiom: for"
12,topology_binintersect_axiom,5027,"LATEX VERSION: Property (3) of the topology axioms, stated as a rule for any U,V in T.","Theorem topology_binintersect_axiom : forall X T:set, topology_on X T -> forall U :e T, forall V :e T, U :/\: V :e T. let X T. assume HTx: topology_on X T. prove forall U :e T, forall V :e T, U :/\: V :e T. let U. assume HU: U :e T. let V. "
12,Empty_is_open,5040,LATEX VERSION: The empty set is an open set of X.,"Theorem Empty_is_open : forall X T:set, topology_on X T -> open_in X T Empty. let X T. assume HTx: topology_on X T. prove open_in X T Empty. prove topology_on X T /\ Empty :e T. apply andI. - exact HTx. - exact (topology_has_empty X T HTx)."
12,X_is_open,5053,LATEX VERSION: The whole set X is an open set of X.,"Theorem X_is_open : forall X T:set, topology_on X T -> open_in X T X. let X T. assume HTx: topology_on X T. prove open_in X T X. prove topology_on X T /\ X :e T. apply andI. - exact HTx. - exact (topology_has_X X T HTx). Qed. "
12,union_open,5066,LATEX VERSION: The union of any family of open sets is open.,"Theorem union_open : forall X T UFam:set, topology_on X T -> (forall U :e UFam, open_in X T U) -> open_in X T (Union UFam). let X T UFam. assume HTx: topology_on X T. assume HUFam: forall U :e UFam, open_in X T U. prove open_in X T (Union U"
12,binintersect_open,5089,LATEX VERSION: The intersection of two open sets is open.,"Theorem binintersect_open : forall X T U V:set, open_in X T U -> open_in X T V -> open_in X T (U :/\: V). let X T U V. assume HU: open_in X T U. assume HV: open_in X T V. prove open_in X T (U :/\: V). claim HTx: topology_on X T. { exact (an"
12,closed_in_topology,5118,"LATEX VERSION: If C is closed in X (relative to T), then T is a topology on X.","Theorem closed_in_topology : forall X T C:set, closed_in X T C -> topology_on X T. let X T C. assume H: closed_in X T C. exact (andEL (topology_on X T) (C c= X /\ exists U :e T, C = X :\: U) H). Qed. "
12,closed_in_package,5127,"LATEX VERSION: If C is closed, then C is the complement in X of some open set U.","Theorem closed_in_package : forall X T C:set, closed_in X T C -> C c= X /\ exists U :e T, C = X :\: U. let X T C. assume H: closed_in X T C. exact (andER (topology_on X T) (C c= X /\ exists U :e T, C = X :\: U) H). Qed. "
12,closed_inI,5136,LATEX VERSION: A set is closed if it is the complement of an open set.,"Theorem closed_inI : forall X T C:set, topology_on X T -> C c= X -> (exists U :e T, C = X :\: U) -> closed_in X T C. let X T C. assume HT: topology_on X T. assume HCsub: C c= X. assume Hex: exists U :e T, C = X :\: U. exact (andI (topology_"
12,closed_of_open_complement,5185,"LATEX VERSION: If U is open in topology T on X, then X\\U is closed in that topology.","Theorem closed_of_open_complement : forall X T U:set, topology_on X T -> U :e T -> closed_in X T (X :\: U). let X. let T. let U. assume Htop HU. prove closed_in X T (X :\: U). apply (closed_inI X T (X :\: U)). - exact Htop. - exact (setminu"
12,X_is_closed,5200,LATEX VERSION: The whole set X is closed in X.,"Theorem X_is_closed : forall X T:set, topology_on X T -> closed_in X T X. let X T. assume HTx: topology_on X T. prove closed_in X T X. apply (closed_inI X T X). - exact HTx. - exact (Subq_ref X). - witness Empty. apply andI. * exact (topolo"
12,Empty_is_closed,5227,LATEX VERSION: The empty set is closed in X.,"Theorem Empty_is_closed : forall X T:set, topology_on X T -> closed_in X T Empty. let X T. assume HTx: topology_on X T. prove closed_in X T Empty. apply (closed_inI X T Empty). - exact HTx. - exact (Subq_Empty X). - witness X. apply andI. *"
12,closed_binintersect,5253,LATEX VERSION: Complements turn finite intersections of closed sets into finite unions of open sets.,"Theorem closed_binintersect : forall X T C D:set, closed_in X T C -> closed_in X T D -> closed_in X T (C :/\: D). let X T C D. assume HC: closed_in X T C. assume HD: closed_in X T D. prove closed_in X T (C :/\: D). claim HTx: topology_on X "
12,closed_binunion,5380,LATEX VERSION: Complements turn finite unions of closed sets into finite intersections of open sets.,"Theorem closed_binunion : forall X T C D:set, closed_in X T C -> closed_in X T D -> closed_in X T (C :\/: D). let X T C D. assume HC: closed_in X T C. assume HD: closed_in X T D. prove closed_in X T (C :\/: D). claim HTx: topology_on X T. {"
12,open_of_closed_complement,5470,LATEX VERSION: The complement of a closed set is open.,"Theorem open_of_closed_complement : forall X T C:set, closed_in X T C -> open_in X T (X :\: C). let X T C. assume HC: closed_in X T C. prove open_in X T (X :\: C). claim HTx: topology_on X T. { exact (closed_in_topology X T C HC). } claim H"
12,topology_binunion_closed,5561,"LATEX VERSION: Since U ∪ V is the union of the pair {U,V}, any topology is closed under binary unions.","Theorem topology_binunion_closed : forall X T U V:set, topology_on X T -> U :e T -> V :e T -> U :\/: V :e T. let X T U V. assume HTx: topology_on X T. assume HU: U :e T. assume HV: V :e T. prove U :\/: V :e T. claim Hpairsub: {U,V} c= T. { "
12,binunion_open,5586,LATEX VERSION: The union of two open sets is open.,"Theorem binunion_open : forall X T U V:set, open_in X T U -> open_in X T V -> open_in X T (U :\/: V). let X T U V. assume HU: open_in X T U. assume HV: open_in X T V. prove open_in X T (U :\/: V). claim HTx: topology_on X T. { exact (andEL "
12,countably_infinite_implies_countable,5644,"LATEX VERSION: If X is countably infinite, then X is countable (at most countable).","Theorem countably_infinite_implies_countable : forall X:set, countably_infinite X -> countable X. let X. assume Heq: countably_infinite X. prove countable X. exact (equip_atleastp X omega Heq). Qed. "
12,countably_infinite_implies_infinite,5653,"LATEX VERSION: If X is countably infinite, then X is infinite.","Theorem countably_infinite_implies_infinite : forall X:set, countably_infinite X -> infinite X. let X. assume Heq: countably_infinite X. prove infinite X. claim Heq': equip omega X. { exact (equip_sym X omega Heq). } claim Hinj: atleastp om"
12,finite_countable,5666,LATEX VERSION: Every finite set is countable.,"Theorem finite_countable : forall X:set, finite X -> countable X. let X. assume Hfin. apply Hfin. let n. assume Hpair: n :e omega /\ equip X n. claim Hn : n :e omega. { exact (andEL (n :e omega) (equip X n) Hpair). } claim Heq : equip X n. "
12,countable_Empty,5685,LATEX VERSION: The empty set is countable.,Theorem countable_Empty : countable Empty. exact (Subq_atleastp Empty omega (Subq_Empty omega)). Qed. 
12,Subq_countable,5691,LATEX VERSION: A subset of a countable set is countable.,"Theorem Subq_countable : forall X Y:set, countable Y -> X c= Y -> countable X. let X Y. assume HcountY HsubXY. prove atleastp X omega. apply atleastp_tra X Y omega. - exact (Subq_atleastp X Y HsubXY). - exact HcountY. Qed. "
12,binintersect_countable_left,5701,LATEX VERSION: Any subset of a countable set is countable; in particular X∩Y is countable if X is countable.,"Theorem binintersect_countable_left : forall X Y:set, countable X -> countable (X :/\: Y). let X Y. assume HcountX: countable X. prove countable (X :/\: Y). apply (Subq_countable (X :/\: Y) X HcountX). exact (binintersect_Subq_1 X Y). Qed. "
12,setminus_countable,5712,LATEX VERSION: X\\A is countable if X is countable.,"Theorem setminus_countable : forall X A:set, countable X -> countable (X :\: A). let X A. assume HcountX: countable X. prove countable (X :\: A). apply (Subq_countable (X :\: A) X HcountX). exact (setminus_Subq X A). Qed. "
12,binunion_countable,5724,NOTE: This requires some form of choice or construction,"Theorem binunion_countable : forall X Y:set, countable X -> countable Y -> countable (X :\/: Y). let X Y. assume HcountX: countable X. assume HcountY: countable Y. prove countable (X :\/: Y). prove exists h : set -> set, inj (X :\/: Y) omeg"
12,Sigma_countable,5952,"LATEX VERSION: A countable union of countable sets is countable, encoded as a dependent sum with nat-pairing.","Theorem Sigma_countable : forall X:set, countable X -> forall Y:set->set, (forall x:set, x :e X -> countable (Y x)) -> countable (Sigma_ x :e X, Y x). let X. assume HX: countable X. let Y. assume HY: forall x:set, x :e X -> countable (Y x)."
12,setprod_countable,6270,LATEX VERSION: If X and Y are countable then X×Y is countable via nat-pairing of injections.,"Theorem setprod_countable : forall X Y:set, countable X -> countable Y -> countable (X :*: Y). let X Y. assume HX: countable X. assume HY: countable Y. prove countable (X :*: Y). prove exists h : set -> set, inj (X :*: Y) omega h. apply HX."
12,countable_complement_topology_on,6478,"LATEX VERSION: The countable complement collection T_c on X is a topology: ∅, X are open; arbitrary unions and finite intersections remain i","Theorem countable_complement_topology_on : forall X, topology_on X (countable_complement_topology X). let X. claim HEmptyOpen : Empty :e countable_complement_topology X. { exact (SepI (Power X) (fun U0 : set => countable (X :\: U0) \/ U0 = "
12,discrete_topology_on,6642,LATEX VERSION: The discrete topology on any set X satisfies the axioms of a topology.,"Theorem discrete_topology_on : forall X, topology_on X (discrete_topology X). let X. prove Power X c= Power X /\ Empty :e Power X /\ X :e Power X /\ (forall UFam :e Power (Power X), Union UFam :e Power X) /\ (forall U :e Power X, forall V :"
12,indiscrete_topology_on,6680,"LATEX VERSION: The trivial/indiscrete topology {∅, X} on any set X satisfies the topology axioms.","Theorem indiscrete_topology_on : forall X, topology_on X (indiscrete_topology X). let X. prove indiscrete_topology X c= Power X /\ Empty :e indiscrete_topology X /\ X :e indiscrete_topology X /\ (forall UFam :e Power (indiscrete_topology X)"
12,finite_complement_topology_on,6791,"LATEX VERSION: The finite complement collection T_f on X is a topology: ∅, X are open; arbitrary unions and finite intersections remain in T","Theorem finite_complement_topology_on : forall X, topology_on X (finite_complement_topology X). let X. claim HEmptyOpen : Empty :e finite_complement_topology X. { exact (SepI (Power X) (fun U0 : set => finite (X :\: U0) \/ U0 = Empty) Empty"
12,comparable_topologies_on_topology1,6985,"helper: unpack comparable_topologies_on, first topology_on","Theorem comparable_topologies_on_topology1 : forall X T1 T2:set, comparable_topologies_on X T1 T2 -> topology_on X T1. let X T1 T2. assume H: comparable_topologies_on X T1 T2. claim Hcore: topology_on X T1 /\ topology_on X T2. { exact (andE"
12,comparable_topologies_on_topology2,6997,"helper: unpack comparable_topologies_on, second topology_on","Theorem comparable_topologies_on_topology2 : forall X T1 T2:set, comparable_topologies_on X T1 T2 -> topology_on X T2. let X T1 T2. assume H: comparable_topologies_on X T1 T2. claim Hcore: topology_on X T1 /\ topology_on X T2. { exact (andE"
12,comparable_topologies_on_comparable,7009,"helper: unpack comparable_topologies_on, comparability predicate","Theorem comparable_topologies_on_comparable : forall X T1 T2:set, comparable_topologies_on X T1 T2 -> comparable_topologies T1 T2. let X T1 T2. assume H: comparable_topologies_on X T1 T2. exact (andER (topology_on X T1 /\ topology_on X T2) "
